id,value
id_90,28.46029760431372
id_91,23.137923188900903
id_92,22.073132949615324
id_93,28.586344270785855
id_94,19.445638756437415
id_95,22.216080546209902
id_96,21.253528118010035
id_97,19.9766144773639
id_98,20.297210018332752
id_99,19.24172223714829
id_100,13.88881510042929
id_101,20.681341023061464
id_102,21.02948418604072
id_103,19.93197729403259
id_104,19.421747393763813
id_105,23.550809332972765
id_106,24.307110475064004
id_107,17.74452084308872
id_108,21.788924754932065
id_109,25.488248427106615
id_110,27.542632372826922
id_111,17.43307943768539
id_112,30.070760588450376
id_113,27.67693314463634
id_114,15.273136208793147
id_115,19.526917991435923
id_116,24.793454923846856
id_117,14.896055472875297
id_118,30.99464854462638
id_119,18.30155015666993
id_120,24.384737610905443
id_121,25.060482809823114
id_122,21.72862318498147
id_123,25.56093166234749
id_124,23.0168455451465
id_125,28.422596393905796
id_126,19.78000176987381
id_127,32.31269937305287
id_128,28.754307922064513
id_129,31.404088350196876
id_130,19.94446688458842
id_131,24.191191945607667
id_132,28.56245958012639
id_133,14.391868368289618
id_134,21.877942129342852
id_135,17.329065237977275
id_136,25.70797854504993
id_137,25.550478055983074
id_138,24.05266048126396
id_139,18.58713732574307
id_140,26.331128313653434
id_141,18.05083511144875
id_142,25.48119843304856
id_143,25.533219919691906
id_144,16.06203911386607
id_145,23.87068847546089
id_146,18.958603856566615
id_147,30.83479422777375
id_148,23.77767355686333
id_149,27.320722357403877
id_150,17.038576376180043
id_151,17.636679327455088
id_152,25.344598982588472
id_153,12.610263320846741
id_154,29.927559320434103
id_155,35.271970801467596
id_156,17.53639956425544
id_157,19.97529457565506
id_158,24.11116709685871
id_159,23.556297498431913
id_160,25.46059483357845
id_161,12.69113277535805
id_162,18.193012568571362
id_163,20.193826847406736
id_164,26.18042285920976
id_165,21.61273386831747
id_166,18.993212983160493
id_167,12.740648124381668
id_168,37.42367919175729
id_169,24.413767737244104
id_170,23.700024529371166
id_171,34.06184934974819
id_172,34.21096366943928
id_173,22.93780700117736
id_174,37.279248813613044
id_175,29.366751108521214
id_176,32.52180989185888
id_177,27.31026370149273
id_178,24.476928991542415
id_179,19.82158649360292
id_180,21.391072690924748
id_181,18.350329089934732
id_182,19.89880462149936
id_183,24.991153564875606
id_184,13.134828380692685
id_185,24.62312058155401
id_186,23.74899530502196
id_187,28.705670942710707
id_188,19.256881747962243
id_189,38.969682533392806
id_190,36.57423310186236
id_191,28.636736740351754
id_192,25.30855748873262
id_193,22.40849452176052
id_194,18.518798255101185
id_195,13.64041905423397
id_196,19.056367532286348
id_197,22.16205349340276
id_198,25.83203734979686
id_199,25.870889065801396
id_200,28.26898140821984
id_201,22.976905959055834
id_202,31.348105372980466
id_203,23.788074653523893
id_204,11.847934492675435
id_205,14.69416689755294
id_206,19.14025317102105
id_207,16.85662666624947
id_208,32.516124262274595
id_209,17.188296291016005
id_210,19.90254427843684
id_211,27.540861450692145
id_212,22.912176819341607
id_213,26.4104823989185
id_214,20.08574468639966
id_215,20.182897752211897
id_216,42.29381158188611
id_217,18.857497313532836
id_218,16.83894896090976
id_219,35.513219800209406
id_220,20.63258762873833
id_221,27.559894894459728
id_222,33.57770479497071
id_223,16.883355632032266
id_224,20.81266311886785
id_225,26.15553246642121
id_226,22.943585299041086
id_227,24.360032468696264
id_228,16.229273679386868
id_229,20.30356159582798
id_230,24.768181463680566
id_231,22.525379290196742
id_232,32.14464512995756
id_233,25.264655696323086
id_234,21.07273534039854
id_235,31.911494716126885
id_236,36.562591097571676
id_237,33.44828498810236
id_238,16.55564564688671
id_239,14.365480428440659
